symbol	old_ensrnog	current_ensrnog	n_tissues_trainreg	tissues	in_current_annot	in_sc_corpus	category	importance
AABR07020815.1	ENSRNOG00000058034		2	COLON,WAT-SC	FALSE	FALSE	clone	low
AABR07021221.1	ENSRNOG00000052921		2	BAT,BLOOD	FALSE	FALSE	clone	low
AABR07025284.1	ENSRNOG00000043057		2	HEART,SKM-VL	FALSE	FALSE	clone	low
AABR07030091.1	ENSRNOG00000054016		2	ADRNL,BAT	FALSE	FALSE	clone	low
AABR07030359.1	ENSRNOG00000042868		2	ADRNL,BAT	FALSE	FALSE	clone	low
AABR07030501.1	ENSRNOG00000055811		2	SKM-GN,SKM-VL	FALSE	FALSE	clone	low
AABR07030527.1	ENSRNOG00000062049		2	SKM-GN,SKM-VL	FALSE	FALSE	clone	low
AABR07031756.1	ENSRNOG00000048800		2	ADRNL,COLON	FALSE	FALSE	clone	low
AABR07034729.1	ENSRNOG00000042193	ENSRNOG00000042193	2	COLON,SPLEEN	TRUE	FALSE	clone	low
AABR07044383.1	ENSRNOG00000059770		2	BAT,OVARY	FALSE	FALSE	clone	low
AABR07051551.1	ENSRNOG00000048167		2	LUNG,WAT-SC	FALSE	FALSE	clone	low
AABR07051551.2	ENSRNOG00000058460		2	LUNG,SPLEEN	FALSE	FALSE	clone	low
AABR07051555.1	ENSRNOG00000056393		2	LUNG,SMLINT	FALSE	FALSE	clone	low
AABR07051583.1	ENSRNOG00000050066		2	BLOOD,LUNG	FALSE	FALSE	clone	low
AABR07051592.1	ENSRNOG00000052953		2	COLON,LUNG	FALSE	FALSE	clone	low
AABR07051642.1	ENSRNOG00000057526		2	LUNG,SPLEEN	FALSE	FALSE	clone	low
AABR07051652.1	ENSRNOG00000055193		2	COLON,SMLINT	FALSE	FALSE	clone	low
AABR07051665.1	ENSRNOG00000053446		2	COLON,LUNG	FALSE	FALSE	clone	low
AABR07051692.1	ENSRNOG00000056273		2	COLON,LUNG	FALSE	FALSE	clone	low
AABR07051700.1	ENSRNOG00000052969		2	LUNG,SMLINT	FALSE	FALSE	clone	low
AABR07051707.1	ENSRNOG00000057618		2	COLON,SMLINT	FALSE	FALSE	clone	low
AABR07055776.1	ENSRNOG00000031216		2	ADRNL,WAT-SC	FALSE	FALSE	clone	low
AABR07059663.1	ENSRNOG00000051922		2	BAT,COLON	FALSE	FALSE	clone	low
AABR07060862.1	ENSRNOG00000053679		2	ADRNL,OVARY	FALSE	FALSE	clone	low
AABR07060952.1	ENSRNOG00000061169		2	COLON,SPLEEN	FALSE	FALSE	clone	low
AABR07061001.1	ENSRNOG00000051739		2	LUNG,SMLINT	FALSE	FALSE	clone	low
AABR07061134.1	ENSRNOG00000061431		2	COLON,LUNG	FALSE	FALSE	clone	low
AABR07065531.26	ENSRNOG00000059660		2	LUNG,WAT-SC	FALSE	FALSE	clone	low
AABR07065651.2	ENSRNOG00000058753		2	COLON,LUNG	FALSE	FALSE	clone	low
AABR07065651.6	ENSRNOG00000057421		2	LUNG,SMLINT	FALSE	FALSE	clone	low
AABR07065656.3	ENSRNOG00000049243		2	COLON,LUNG	FALSE	FALSE	clone	low
AABR07065656.3	ENSRNOG00000050912		2	COLON,LUNG	FALSE	FALSE	clone	low
AABR07065676.1	ENSRNOG00000056495		2	COLON,LUNG	FALSE	FALSE	clone	low
AABR07065789.3	ENSRNOG00000058824		2	COLON,SMLINT	FALSE	FALSE	clone	low
AABR07065814.2	ENSRNOG00000042319		2	COLON,LUNG	FALSE	FALSE	clone	low
AABR07065886.1	ENSRNOG00000046401		2	LUNG,SMLINT	FALSE	FALSE	clone	low
AABR07066748.1	ENSRNOG00000051413		2	COLON,SMLINT	FALSE	FALSE	clone	low
AABR07069371.1	ENSRNOG00000039931		2	ADRNL,COLON	FALSE	FALSE	clone	low
AABR07070043.1	ENSRNOG00000050630		2	ADRNL,BLOOD	FALSE	FALSE	clone	low
AABR07071891.1	ENSRNOG00000037673		2	BLOOD,LUNG	FALSE	FALSE	clone	low
AABR07072853.5	ENSRNOG00000062252		2	ADRNL,LUNG	FALSE	FALSE	clone	low
AC096601.1	ENSRNOG00000024177		2	ADRNL,SKM-GN	FALSE	FALSE	clone	low
AC096809.1	ENSRNOG00000053699		2	ADRNL,BAT	FALSE	FALSE	clone	low
AC106292.2	ENSRNOG00000059017		2	ADRNL,BAT	FALSE	FALSE	clone	low
