feature_ID	n_tissues	tissue
ENSRNOG00000056728	6	BAT,BLOOD,COLON,LIVER,OVARY,WAT-SC
ENSRNOG00000057569	6	ADRNL,COLON,HEART,LUNG,SPLEEN,TESTES
ENSRNOG00000060293	6	ADRNL,BAT,BLOOD,COLON,SKM-GN,SKM-VL
ENSRNOG00000060381	6	ADRNL,BAT,HEART,KIDNEY,SKM-GN,WAT-SC
ENSRNOG00000061739	6	ADRNL,BAT,BLOOD,COLON,LUNG,WAT-SC
ENSRNOG00000062531	6	ADRNL,BAT,BLOOD,COLON,SKM-GN,SKM-VL
ENSRNOG00000064742	6	ADRNL,BAT,BLOOD,COLON,HEART,SKM-VL
ENSRNOG00000067979	6	ADRNL,BAT,BLOOD,COLON,SKM-GN,SKM-VL
ENSRNOG00000069673	6	ADRNL,BAT,BLOOD,HEART,SKM-GN,SKM-VL
ENSRNOG00000071176	6	ADRNL,BAT,BLOOD,COLON,SKM-GN,WAT-SC
ENSRNOG00000073701	6	BAT,BLOOD,COLON,HEART,SKM-VL,SPLEEN
ENSRNOG00000076813	6	ADRNL,BAT,BLOOD,COLON,CORTEX,WAT-SC
ENSRNOG00000000167	5	ADRNL,BLOOD,HEART,LUNG,SPLEEN
ENSRNOG00000000187	5	ADRNL,BAT,LUNG,SMLINT,SPLEEN
ENSRNOG00000000195	5	ADRNL,CORTEX,HEART,KIDNEY,LUNG
ENSRNOG00000000442	5	HEART,LUNG,SKM-VL,SPLEEN,WAT-SC
ENSRNOG00000000451	5	ADRNL,BAT,BLOOD,LUNG,WAT-SC
ENSRNOG00000000456	5	ADRNL,BAT,BLOOD,LUNG,OVARY
ENSRNOG00000000774	5	ADRNL,BLOOD,COLON,SPLEEN,WAT-SC
ENSRNOG00000000800	5	ADRNL,BLOOD,HEART,LUNG,WAT-SC
ENSRNOG00000001004	5	BAT,COLON,HEART,HIPPOC,SPLEEN
ENSRNOG00000001010	5	ADRNL,BLOOD,COLON,OVARY,WAT-SC
ENSRNOG00000001082	5	ADRNL,BLOOD,COLON,SKM-VL,WAT-SC
ENSRNOG00000001170	5	ADRNL,BAT,BLOOD,COLON,SPLEEN
ENSRNOG00000001254	5	ADRNL,BAT,OVARY,SKM-GN,WAT-SC
ENSRNOG00000001494	5	BLOOD,COLON,HIPPOC,SKM-GN,SPLEEN
ENSRNOG00000001518	5	ADRNL,BLOOD,COLON,LUNG,SKM-VL
